,b,dedicator,g,label,r,size,x,y
Q44845,147,0,121,Q44845,238,8.0,1451.196,-3572.4026
Q450663,147,0,121,Q450663,238,10.24,-377.50467,-3106.2944
Q450741,147,0,121,Q450741,238,8.0,971.4717,-3442.9226
Q451348,147,0,121,Q451348,238,8.0,112.48419,-4622.386
Q452742,147,0,121,Q452742,238,8.0,-957.6902,-3895.6465
Q454802,147,0,121,Q454802,238,9.12,1064.4862,-3900.4294
Q460824,147,0,121,Q460824,238,10.24,268.77872,-2850.8713
Q462585,125,1,177,Edmond Jabès,63,64.0,-218.21281,-3393.075
Q467470,147,0,121,Q467470,238,10.24,831.3063,-3627.5012
Q472206,125,1,177,Jean-Pierre Vernant,63,64.0,-148.44797,-2725.045
Q478292,147,0,121,Q478292,238,10.24,335.98788,-3072.1907
Q4937417,147,0,121,Q4937417,238,8.0,-424.54395,-4821.8438
Q503017,147,0,121,Q503017,238,13.6,-345.55814,-2933.1577
Q513448,147,0,121,Q513448,238,10.24,44.327118,-4460.4424
Q515633,147,0,121,Q515633,238,9.12,842.8972,-3293.6782
Q516614,147,0,121,Q516614,238,8.0,218.07336,-2371.7559
Q519188,125,1,177,André Green,63,64.0,78.212975,-4276.58
Q520417,147,0,121,Q520417,238,10.24,557.1714,-3982.0288
Q538347,147,0,121,Q538347,238,9.12,1346.5728,-3903.0823
Q540407,147,0,121,Q540407,238,12.48,-85.49027,-3106.68
Q551749,147,0,121,Q551749,238,8.0,356.41016,-5179.0146
Q553887,147,0,121,Q553887,238,10.24,232.66151,-3983.8118
Q554993,125,1,177,Yosef Hayim Yerushalmi,63,64.0,1236.0544,-3156.381
Q562139,147,0,121,Q562139,238,8.0,-923.13727,-3107.6377
Q58853,147,0,121,Q58853,238,9.12,869.0129,-2960.4556
Q5955226,147,0,121,Q5955226,238,8.0,213.89214,-2430.8079
Q5958413,147,0,121,Q5958413,238,8.0,125.67892,-2339.411
Q60025,147,0,121,Q60025,238,11.36,316.0901,-3351.7883
Q600687,147,0,121,Q600687,238,8.0,-463.3069,-4750.9443
Q601475,125,1,177,Maurice de Gandillac,63,64.0,288.58917,-3651.4688
Q61078,147,0,121,Q61078,238,14.719999,360.8725,-3464.1304
Q631466,125,1,177,Benny Lévy,63,64.0,310.03647,-3230.0962
Q644548,147,0,121,Q644548,238,8.0,628.4015,-4612.925
Q658382,147,0,121,Q658382,238,8.0,-819.3132,-2932.7537
Q6766958,125,1,177,Mark C. Taylor,63,64.0,-58.401096,-5298.0386
Q68147,147,0,121,Q68147,238,8.0,1460.7319,-3651.4983
Q6913854,125,1,177,Morris Philipson,63,64.0,139.05408,-3414.1667
Q6964697,125,1,177,Naomi Schor,63,64.0,-438.00122,-4018.595
Q7060,147,0,121,Q7060,238,8.0,174.32738,-2357.8818
Q712288,125,1,177,Paulin J. Hountondji,63,64.0,508.15155,-3698.0217
Q71811,147,0,121,Q71811,238,8.0,735.8692,-3060.1582
Q7197,147,0,121,Q7197,238,10.24,115.177246,-3693.2026
Q728489,147,0,121,Q728489,238,8.0,138.37514,-2251.9841
Q7323585,125,1,177,Richard A. Macksey,63,64.0,-23.449997,-4341.8623
Q7327013,147,0,121,Q7327013,238,8.0,721.42267,-2953.4485
Q7342059,147,0,121,Q7342059,238,8.0,0.8604228,-2403.349
Q7347279,147,0,121,Q7347279,238,8.0,-291.9309,-5696.569
Q7357223,147,0,121,Q7357223,238,8.0,-16.015348,-5567.629
Q76356,147,0,121,Q76356,238,11.36,828.7633,-3522.2092
Q76357,125,1,177,Jürgen Habermas,63,64.0,1076.0927,-3662.4812
Q764300,147,0,121,Q764300,238,10.24,739.10547,-3411.876
Q788718,147,0,121,Q788718,238,8.0,-270.8155,-4812.5015
Q81244,147,0,121,Q81244,238,8.0,1399.9838,-3614.2253
Q822727,147,0,121,Q822727,238,11.36,-164.67213,-2663.5393
Q852886,147,0,121,Q852886,238,8.0,-760.7453,-2884.3352
Q9049,147,0,121,Q9049,238,9.12,1088.6024,-3984.6985
Q909,147,0,121,Q909,238,9.12,360.7056,-4638.6343
Q912866,147,0,121,Q912866,238,8.0,-1334.2218,-4477.739
Q923743,147,0,121,Q923743,238,10.24,382.54855,-2994.1362
Q933332,147,0,121,Q933332,238,9.12,483.9292,-4535.906
Q9364,147,0,121,Q9364,238,22.56,119.399925,-3515.2688
Q938297,147,0,121,Q938297,238,8.0,731.0781,-2754.866
Q945597,147,0,121,Q945597,238,8.0,875.0658,-4424.255
Q982044,125,1,177,Henry Bauchau,63,64.0,-263.15408,-3889.7468
Q982519,147,0,121,Q982519,238,8.0,-743.1043,-3531.883
Q983648,125,1,177,Kostas Axelos,63,64.0,-64.95323,-3263.9111
Q994115,125,1,177,Michel Deguy,63,64.0,-636.9927,-3247.686
