,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Component ID,Degree,Eccentricity,Ego Network,Eigenvector Centrality,Harmonic Closeness Centrality,In-Degree,Modularity Class,Out-Degree,PageRank,Strongly-Connected ID,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,b,dedicator,g,label,lang-af,lang-ar,lang-ast,lang-az,lang-be,lang-be-tarask,lang-bg,lang-bs,lang-ca,lang-ckb,lang-cs,lang-da,lang-de,lang-el,lang-en,lang-eo,lang-es,lang-et,lang-eu,lang-fa,lang-fi,lang-fr,lang-gl,lang-he,lang-hr,lang-hu,lang-hy,lang-ia,lang-id,lang-io,lang-is,lang-it,lang-ja,lang-jv,lang-ka,lang-kk,lang-ko,lang-ku,lang-la,lang-li,lang-lt,lang-lv,lang-mk,lang-ml,lang-nl,lang-nn,lang-no,lang-oc,lang-pa,lang-pl,lang-pt,lang-ro,lang-ru,lang-sco,lang-sh,lang-simple,lang-sk,lang-sl,lang-sr,lang-sv,lang-sw,lang-ta,lang-th,lang-tl,lang-tr,lang-uk,lang-vi,lang-yo,lang-zh,r,size,wiki degree,x,y
Q528804,0.0,0.0,0.0833333358168602,0,4,0.0,0,0.00395511923115074,0.0,4,6,0,0.00032603821431551164,865,6.0,6.0,0.0,255,1,196,Severo Sarduy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,4,-2782.4697,976.41437
Q554993,0.0002126001826817172,0.2616499080981728,0.1527777761220932,0,9,6.0,1,0.05449096718773389,0.2679752066115719,5,4,4,0.0004447819837000778,2038,12.0,6.0,6.0,255,1,89,Yosef Hayim Yerushalmi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,64.0,6,-1003.947,3029.006
Q581018,0.0,0.0,0.1666666716337204,0,4,0.0,0,0.030407885604270348,0.0,4,6,0,0.00030342811288230974,469,11.0,11.0,0.0,255,1,196,Claude Mauriac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,4,-1164.2472,628.0416
Q601475,0.0001618644015487597,0.36694465504169826,0.32380953431129456,0,21,5.0,1,0.11864469767484973,0.38415977961433706,8,1,13,0.0005867841245246459,2038,95.0,41.0,54.0,0,1,192,Maurice de Gandillac,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,64.0,5,-32.582397,890.85547
Q602497,0.0,0.0,0.5,0,3,0.0,0,0.004599900476919755,0.0,3,0,0,0.0004258752986421727,1562,6.0,6.0,0.0,255,1,137,Maria Torok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,2,-57.846397,3366.669
Q631466,3.566452720310922e-05,0.3644029513627466,0.39743590354919434,0,18,5.0,1,0.051538933548303946,0.38065426997246404,7,0,11,0.00035569613329364724,2038,66.0,38.0,28.0,255,1,137,Benny Lévy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,7,-86.57645,209.52618
Q6766958,0.0,0.3355965082444229,0.13333334028720856,0,10,6.0,1,0.0,0.34457060280760465,0,0,10,0.00024142417580897478,2266,12.0,0.0,12.0,255,1,137,Mark C. Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,1,875.40424,3138.7307
Q678163,0.0,0.0,0.3333333432674408,0,3,0.0,0,0.032525684352249604,0.0,3,1,0,0.00030001880665991637,1898,8.0,8.0,0.0,0,1,192,Henri Gouhier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,64.0,3,959.98083,-9.81414
Q6913854,0.0,0.34219081272084806,0.30000001192092896,0,5,5.0,1,0.0,0.35237505163156596,0,0,5,0.00024142417580897478,2321,5.0,0.0,5.0,255,1,137,Morris Philipson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,1,-619.41144,2670.2957
Q6964697,0.0,0.3474454649827784,0.6785714030265808,0,8,5.0,1,0.0,0.3595346275643766,0,0,8,0.00024142417580897478,2298,9.0,0.0,9.0,255,1,137,Naomi Schor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,64.0,1,-969.9704,258.98956
